"iso3","ccode","avg_effort","median_effort","bin"
"MRT",435,0.0524005,0.0530246,"6-10%    "
"MWI",553,0.0390199,0.0323565,"0.01-5%    "
"MYS",820,0.0753853,0.0822259,"6-10%    "
"NAM",565,0.0348155,0.0416667,"0.01-5%    "
"NCL",NA,NA,NA,NA
"NER",436,0.0640857,0.0681818,"6-10%    "
"NGA",475,0.0249606,0.02,"0.01-5%    "
"NIC",93,0.0505718,0.0454751,"6-10%    "
"NLD",210,0.0194491,0.0169109,"0.01-5%    "
"NOR",385,0.0127815,0.00666667,"0.01-5%    "
"NPL",790,0.0382893,0.0347003,"0.01-5%    "
"NZL",920,0.0236022,0.00948117,"0.01-5%    "
"OMN",698,0.0756559,0.0587232,"6-10%    "
"PAK",770,0.00425467,0,"0.01-5%    "
"PAN",95,0.0515414,0.0550725,"6-10%    "
"PER",135,0.0191474,0,"0.01-5%    "
"PHL",840,0.0656137,0.0632564,"6-10%    "
"PNG",910,0.0666667,0,"6-10%    "
"POL",290,0.0233536,0.0228368,"0.01-5%    "
"PRI",NA,NA,NA,NA
"PRK",731,NA,NA,NA
"PRT",235,0.0291045,0.0247525,"0.01-5%    "
"PRY",150,0.0999664,0.0904872,"6-10%    "
"PSE",NA,NA,NA,NA
"QAT",694,0.0461161,0.015873,"0.01-5%    "
"ROU",360,0.020265,0,"0.01-5%    "
"RUS",365,0.00238666,0,"0.01-5%    "
"RWA",517,0.0234813,0.0287356,"0.01-5%    "
"SAU",670,0.00637106,0,"0.01-5%    "
"SDN",625,0.00179908,0,"0.01-5%    "
"SEN",433,0.166134,0.0694368,"> 15%"
"SLB",940,NA,NA,NA
"SLE",451,0.067274,0.0772353,"6-10%    "
"SLV",92,0.0720702,0.0639572,"6-10%    "
"SOM",520,0,0,"0%    "
"SRB",NA,0.0483074,0.0376984,"0.01-5%    "
"SSD",626,NA,NA,NA
"SUR",115,0.0673875,0.0454545,"6-10%    "
"SVK",317,0.0357864,0.0384615,"0.01-5%    "
"SVN",349,0.048474,0.03125,"0.01-5%    "
"SWE",380,0.0288187,0.0252809,"0.01-5%    "
"SWZ",572,0.0417112,0,"0.01-5%    "
"SYR",652,0.00966568,0,"0.01-5%    "
"TCD",483,0.0344242,0.0163719,"0.01-5%    "
"TGO",461,0.0315018,0,"0.01-5%    "
"THA",800,0.0268365,0.0237467,"0.01-5%    "
"TJK",702,0.0414517,0.0263158,"0.01-5%    "
"TKM",701,0.0222855,0.025974,"0.01-5%    "
"TLS",860,0.0379221,0.0477044,"0.01-5%    "
"TTO",52,0.0611054,0.0105263,"6-10%    "
"TUN",616,0.00959929,0,"0.01-5%    "
"TUR",640,0.0122747,0,"0.01-5%    "
"TWN",713,0.0121997,0.0118734,"0.01-5%    "
"TZA",510,0.0627973,0.054314,"6-10%    "
"UGA",500,0.0166096,0,"0.01-5%    "
"UKR",369,0.0154366,0.0140723,"0.01-5%    "
"URY",165,0.0511778,0.0603448,"6-10%    "
"USA",2,0,0,"0%    "
"UZB",704,0.0573002,0.0670241,"6-10%    "
"VEN",101,0.0282378,0.0204082,"0.01-5%    "
"VNM",816,0.0642943,0.0692124,"6-10%    "
"VUT",935,NA,NA,NA
"YEM",679,0.018187,0.0121212,"0.01-5%    "
"ZAF",560,0.0118697,0,"0.01-5%    "
"ZMB",551,0.0218182,0,"0.01-5%    "
"ZWE",552,0.0117145,0,"0.01-5%    "
