iso3,year,ccode,crim,crim_level
UGA,2001.0,500,0,No criminalization
UKR,2001.0,369,1,Partial criminalization    
URY,2001.0,165,0,No criminalization
USA,2001.0,2,2,Full criminalization   
UZB,2001.0,704,0,No criminalization
VEN,2001.0,101,0,No criminalization
VNM,2001.0,816,1,Partial criminalization    
VUT,2001.0,935,NA,No criminalization
YEM,2001.0,679,1,Partial criminalization    
ZAF,2001.0,560,0,No criminalization
ZMB,2001.0,551,0,No criminalization
ZWE,2001.0,552,0,No criminalization
AFG,2014.0,700,NA,Full criminalization   
AGO,2014.0,540,2,Full criminalization   
ALB,2014.0,339,NA,Full criminalization   
ARE,2014.0,696,NA,Full criminalization   
ARG,2014.0,160,NA,Full criminalization   
ARM,2014.0,371,NA,Full criminalization   
ATF,2014.0,NA,NA,No criminalization
AUS,2014.0,900,NA,Full criminalization   
AUT,2014.0,305,NA,Full criminalization   
AZE,2014.0,373,NA,Full criminalization   
BDI,2014.0,516,1,Partial criminalization    
BEL,2014.0,211,NA,Full criminalization   
BEN,2014.0,434,1,Partial criminalization    
BFA,2014.0,439,NA,Full criminalization   
BGD,2014.0,771,2,Full criminalization   
BGR,2014.0,355,NA,Full criminalization   
BHS,2014.0,31,NA,Full criminalization   
BIH,2014.0,346,NA,Full criminalization   
BLR,2014.0,370,NA,Full criminalization   
BLZ,2014.0,80,2,Full criminalization   
BOL,2014.0,145,NA,Full criminalization   
BRA,2014.0,140,1,Partial criminalization    
BRN,2014.0,835,NA,No criminalization
BTN,2014.0,760,1,Partial criminalization    
BWA,2014.0,571,1,Partial criminalization    
CAF,2014.0,482,NA,Partial criminalization    
CAN,2014.0,20,NA,Full criminalization   
CHE,2014.0,225,NA,Full criminalization   
CHL,2014.0,155,NA,Full criminalization   
CHN,2014.0,710,1,Partial criminalization    
CIV,2014.0,437,0,No criminalization
CMR,2014.0,471,2,Full criminalization   
COD,2014.0,490,NA,Partial criminalization    
COG,2014.0,484,0,No criminalization
COL,2014.0,100,NA,Full criminalization   
CRI,2014.0,94,NA,Full criminalization   
CUB,2014.0,40,0,No criminalization
CYP,2014.0,352,NA,Full criminalization   
CZE,2014.0,316,NA,Full criminalization   
DEU,2014.0,255,NA,Full criminalization   
DJI,2014.0,522,NA,Full criminalization   
DNK,2014.0,390,NA,Full criminalization   
DOM,2014.0,42,NA,Full criminalization   
DZA,2014.0,615,NA,Full criminalization   
ECU,2014.0,130,NA,Full criminalization   
EGY,2014.0,651,NA,Full criminalization   
ERI,2014.0,531,1,Partial criminalization    
ESH,2014.0,NA,NA,No criminalization
ESP,2014.0,230,NA,Full criminalization   
EST,2014.0,366,2,Full criminalization   
ETH,2014.0,530,NA,Full criminalization   
FIN,2014.0,375,NA,Full criminalization   
FJI,2014.0,950,NA,Full criminalization   
FLK,2014.0,NA,NA,No criminalization
FRA,2014.0,220,NA,Full criminalization   
GAB,2014.0,481,1,Partial criminalization    
GBR,2014.0,200,NA,Full criminalization   
GEO,2014.0,372,NA,Full criminalization   
GHA,2014.0,452,NA,Full criminalization   
GIN,2014.0,438,1,Partial criminalization    
GMB,2014.0,420,NA,Full criminalization   
GNB,2014.0,404,2,Full criminalization   
GNQ,2014.0,411,NA,Full criminalization   
GRC,2014.0,350,NA,Full criminalization   
GTM,2014.0,90,NA,Full criminalization   
GUY,2014.0,110,NA,Full criminalization   
HND,2014.0,91,NA,Full criminalization   
HRV,2014.0,344,NA,Full criminalization   
HTI,2014.0,41,2,Full criminalization   
HUN,2014.0,310,NA,Full criminalization   
IDN,2014.0,850,NA,Full criminalization   
IND,2014.0,750,1,Partial criminalization    
IRL,2014.0,205,NA,Full criminalization   
IRN,2014.0,630,1,Partial criminalization    
IRQ,2014.0,645,1,Partial criminalization    
ISL,2014.0,395,NA,Full criminalization   
ISR,2014.0,666,NA,Full criminalization   
ITA,2014.0,325,NA,Full criminalization   
JAM,2014.0,51,NA,Full criminalization   
JOR,2014.0,663,1,Partial criminalization    
JPN,2014.0,740,1,Partial criminalization    
KAZ,2014.0,705,NA,Full criminalization   
KEN,2014.0,501,NA,Full criminalization   
KGZ,2014.0,703,NA,Full criminalization   
KHM,2014.0,811,NA,Full criminalization   
KOR,2014.0,732,2,Full criminalization   
KWT,2014.0,690,2,Full criminalization   
LAO,2014.0,812,NA,Full criminalization   
LBN,2014.0,660,2,Full criminalization   
LBR,2014.0,450,1,Partial criminalization    
LBY,2014.0,620,0,No criminalization
LKA,2014.0,780,NA,Full criminalization   
LSO,2014.0,570,NA,Full criminalization   
LTU,2014.0,368,NA,Full criminalization   
LUX,2014.0,212,NA,Full criminalization   
LVA,2014.0,367,NA,Full criminalization   
MAR,2014.0,600,0,No criminalization
MDA,2014.0,359,NA,Full criminalization   
MDG,2014.0,580,1,Partial criminalization    
MEX,2014.0,70,NA,Full criminalization   
MKD,2014.0,343,NA,Full criminalization   
MLI,2014.0,432,2,Full criminalization   
MMR,2014.0,775,NA,Full criminalization   
MNE,2014.0,341,NA,No criminalization
MNG,2014.0,712,NA,Full criminalization   
MOZ,2014.0,541,NA,Full criminalization   
MRT,2014.0,435,NA,Full criminalization   
MWI,2014.0,553,1,Partial criminalization    
MYS,2014.0,820,NA,Full criminalization   
NAM,2014.0,565,NA,Full criminalization   
NCL,2014.0,NA,NA,No criminalization
NER,2014.0,436,NA,Full criminalization   
NGA,2014.0,475,NA,Full criminalization   
NIC,2014.0,93,NA,Full criminalization   
NLD,2014.0,210,NA,Full criminalization   
NOR,2014.0,385,NA,Full criminalization   
NPL,2014.0,790,NA,Full criminalization   
NZL,2014.0,920,NA,Full criminalization   
OMN,2014.0,698,NA,Full criminalization   
PAK,2014.0,770,1,Partial criminalization    
PAN,2014.0,95,2,Full criminalization   
PER,2014.0,135,NA,Full criminalization   
PHL,2014.0,840,NA,Full criminalization   
PNG,2014.0,910,1,Partial criminalization    
POL,2014.0,290,NA,Full criminalization   
PRI,2014.0,NA,NA,No criminalization
PRK,2014.0,731,NA,No criminalization
PRT,2014.0,235,NA,Full criminalization   
PRY,2014.0,150,1,Partial criminalization    
PSE,2014.0,NA,NA,No criminalization
QAT,2014.0,694,NA,Full criminalization   
ROU,2014.0,360,NA,Full criminalization   
RUS,2014.0,365,NA,Full criminalization   
RWA,2014.0,517,NA,Full criminalization   
SAU,2014.0,670,NA,Full criminalization   
SDN,2014.0,625,2,Full criminalization   
SEN,2014.0,433,NA,Full criminalization   
SLB,2014.0,940,NA,No criminalization
SLE,2014.0,451,NA,Full criminalization   
SLV,2014.0,92,NA,Full criminalization   
SOM,2014.0,520,NA,No criminalization
SOM,2014.0,520,NA,No criminalization
SRB,2014.0,NA,NA,Full criminalization   
SSD,2014.0,626,NA,No criminalization
SUR,2014.0,115,NA,Full criminalization   
SVK,2014.0,317,NA,Full criminalization   
SVN,2014.0,349,NA,Full criminalization   
SWE,2014.0,380,NA,Full criminalization   
SWZ,2014.0,572,NA,Full criminalization   
SYR,2014.0,652,NA,Full criminalization   
TCD,2014.0,483,0,No criminalization
TGO,2014.0,461,1,Partial criminalization    
THA,2014.0,800,NA,Full criminalization   
TJK,2014.0,702,NA,Full criminalization   
TKM,2014.0,701,NA,Full criminalization   
TLS,2014.0,860,NA,No criminalization
TTO,2014.0,52,2,Full criminalization   
TUN,2014.0,616,1,Partial criminalization    
TUR,2014.0,640,2,Full criminalization   
TWN,2014.0,713,NA,No criminalization
TZA,2014.0,510,NA,Full criminalization   
UGA,2014.0,500,NA,Full criminalization   
UKR,2014.0,369,NA,Full criminalization   
URY,2014.0,165,NA,Full criminalization   
USA,2014.0,2,NA,Full criminalization   
UZB,2014.0,704,NA,Full criminalization   
VEN,2014.0,101,1,Partial criminalization    
VNM,2014.0,816,2,Full criminalization   
VUT,2014.0,935,NA,No criminalization
YEM,2014.0,679,1,Partial criminalization    
ZAF,2014.0,560,1,Partial criminalization    
ZMB,2014.0,551,NA,Full criminalization   
ZWE,2014.0,552,1,Partial criminalization    
