obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur,middate,time.in.office
HON-1998,81e77013-1e42-11e4-b4cd-db5882bf8def,91,HON,Flores Facusse,1998-01-27,2002-01-27,Regular,Regular,Regular,0,OK,M,1950,-777,NA,NA,NA,0,1.0,0,0.0,NA,NA,2000-01-28,1461
HON-2002,81e77014-1e42-11e4-b4cd-db5882bf8def,91,HON,Ricardo Maduro,2002-01-27,2006-01-27,Regular,Regular,Regular,0,OK,M,1946,-777,NA,NA,http://dbpedia.org/resource/Ricardo_Maduro,0,1.0,0,0.0,NA,NA,2004-01-28,1461
HON-2006,825059b2-1e42-11e4-b4cd-db5882bf8def,91,HON,Zelaya,2006-01-27,2009-06-28,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1952,-777,NA,NA,NA,0,3.0,6,1.0,NA,NA,2007-10-13,1248
HON-2009,825059b3-1e42-11e4-b4cd-db5882bf8def,91,HON,Micheletti,2009-06-28,2010-01-27,Irregular,Regular,Regular,0,OK,M,1948,-777,NA,NA,NA,1,1.0,0,0.0,NA,NA,2009-10-13,213
HON-2010,825059b4-1e42-11e4-b4cd-db5882bf8def,91,HON,Lobo,2010-01-27,2014-01-27,Regular,Regular,Regular,0,OK,M,1947,-777,NA,NA,NA,0,1.0,0,0.0,NA,NA,2012-01-28,1461
HON-2014,149deeac-aae0-11e4-b3bc-29f2fa19767e,91,HON,Hernández,2014-01-27,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1968,-777,1968-10-28,NA,NA,0,-888.0,-888,-888.0,NA,NA,2015-01-14,703
ECU-2000,81f89af7-1e42-11e4-b4cd-db5882bf8def,130,ECU,Gustavo Noboa,2000-01-22,2003-01-15,Irregular,Regular,Regular,0,Exile,M,1937,-777,NA,NA,NA,1,1.0,0,1.0,NA,NA,2001-07-20,1089
ECU-2003,81f89af8-1e42-11e4-b4cd-db5882bf8def,130,ECU,Lucio Gutierrez,2003-01-15,2005-04-20,Regular,Regular,Regular,0,Imprisonment,M,1957,-777,NA,NA,NA,0,1.0,0,2.0,NA,NA,2004-03-03,826
ECU-2005,82508a88-1e42-11e4-b4cd-db5882bf8def,130,ECU,Alfredo Palacio,2005-04-20,2007-01-15,Regular,Regular,Regular,0,OK,M,1939,-777,NA,NA,NA,0,1.0,0,0.0,NA,NA,2006-03-04,635
ECU-2007,82508a89-1e42-11e4-b4cd-db5882bf8def,130,ECU,Rafael Correa,2007-01-15,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1963,-777,1963-04-06,NA,NA,0,-888.0,-888,-888.0,NA,NA,2011-07-09,3272
