obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur,middate,time.in.office,pos.y,hjust
ZIM-1980,82341e8d-1e42-11e4-b4cd-db5882bf8def,552,ZIM,Mugabe,1980-03-04,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1924,-777,1924-02-21,NA,http://dbpedia.org/resource/Robert_Mugabe,0,-888,-888,-888,NA,NA,2007-07-15,13085,0.25,0.5
ISR-1999,824147f4-1e42-11e4-b4cd-db5882bf8def,666,ISR,Barak,1999-07-06,2001-03-07,Regular,Regular,Regular,0,OK,M,1942,-777,1942-02-12,NA,http://dbpedia.org/resource/Ehud_Barak,0,1,0,0,NA,NA,2000-05-06,610,0.25,0.5
ISR-2001,824147f5-1e42-11e4-b4cd-db5882bf8def,666,ISR,Sharon,2001-03-08,2006-01-04,Regular,Retired Due to Ill Health,Regular,0,OK,M,1928,-777,NA,NA,http://dbpedia.org/resource/Ariel_Sharon,0,2.1,0,0,NA,NA,2003-08-07,1763,0.25,0.5
ISR-2006,82548bfe-1e42-11e4-b4cd-db5882bf8def,666,ISR,Olmert,2006-01-04,2009-03-31,Regular,Regular,Regular,0,OK,M,1928,-777,1928-02-26,NA,NA,0,1,0,0,NA,NA,2007-08-18,1182,0.25,0.5
ISR-2009,82411722-1e42-11e4-b4cd-db5882bf8def,666,ISR,Netanyahu,2009-03-31,2015-12-31,Regular,Still in Office,Still in Office,1,Leader Still in Office,M,1949,-777,1949-10-21,NA,NA,0,-888,-888,-888,NA,NA,2012-08-15,2466,0.25,0.5
UAE-1971,82426ced-1e42-11e4-b4cd-db5882bf8def,696,UAE,Al Nahayan I,1971-12-02,2004-11-03,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1918,2004,NA,NA,NA,0,2,0,-777,NA,NA,2001-01-01,12025,0.25,0.5
UAE-2004,8254bcd0-1e42-11e4-b4cd-db5882bf8def,696,UAE,Al Nahayan II,2004-11-03,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1948,-777,1948-01-25,NA,NA,0,-888,-888,-888,NA,NA,2010-06-03,4075,0.25,0.5
OMA-1970,82429dc1-1e42-11e4-b4cd-db5882bf8def,698,OMA,Qabus Bin Said,1970-07-23,2015-12-31,Irregular,Still in Office,Still in Office,0,Leader Still in Office,M,1940,-777,1940-11-18,NA,http://dbpedia.org/resource/Qaboos_bin_Said_al_Said,1,-888,-888,-888,NA,NA,2007-07-15,16597,0.25,0.5
KZK-1990,8243c2c2-1e42-11e4-b4cd-db5882bf8def,705,KZK,Nazarbayev,1990-04-24,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1940,-777,1940-07-06,NA,http://dbpedia.org/resource/Nursultan_Nazarbayev,0,-888,-888,-888,NA,NA,2007-07-15,9382,0.25,0.5
JPN-2000-2,82476295-1e42-11e4-b4cd-db5882bf8def,740,JPN,Mori,2000-04-05,2001-04-26,Regular,Regular,Regular,0,OK,M,1937,-777,NA,NA,NA,0,1,0,0,NA,NA,2000-10-15,386,0.25,0.5
JPN-2001,82476296-1e42-11e4-b4cd-db5882bf8def,740,JPN,Koizumi,2001-04-26,2006-09-26,Regular,Regular,Regular,0,OK,M,1942,-777,1942-01-08,NA,http://dbpedia.org/resource/Junichiro_Koizumi,0,1,0,0,NA,NA,2004-01-11,1979,0.05,0.5
JPN-2006,364a2a98-3bbd-11e5-afeb-eb6f07f9fec7,740,JPN,Abe,2006-09-26,2007-09-26,Regular,Regular,Regular,0,OK,M,1954,-777,1954-09-21,NA,NA,0,1,0,0,NA,NA,2007-03-28,365,0.25,0.5
JPN-2007,8254eda8-1e42-11e4-b4cd-db5882bf8def,740,JPN,Fukuda,2007-09-26,2008-09-24,Regular,Regular,Regular,0,OK,M,1936,-777,1936-07-16,NA,NA,0,1,0,0,Son of Fukuda%824700ea-1e42-11e4-b4cd-db5882bf8def,1,2008-03-26,364,0.05,0.5
JPN-2008,8254eda9-1e42-11e4-b4cd-db5882bf8def,740,JPN,Aso,2008-09-24,2009-09-16,Regular,Regular,Regular,0,OK,M,1940,-777,1940-09-20,NA,NA,0,1,0,0,"Grandson of Yoshida, Shigeru%82469f3c-1e42-11e4-b4cd-db5882bf8def",1,2009-03-22,357,0.25,0.5
